company_ntn,company_name,incorporation_date,registered_address,principal_business,status,paid_up_capital
6219119-6,Global Enterprises,2018-12-11,"House 764, Street 42, Paris Road, Sialkot",Pharmaceuticals,Active,500000000
9780501-6,Apex Enterprises,2008-06-02,"House 603, Street 25, Peoples Colony, Faisalabad",Import/Export,Active,500000000
2373342-8,Capital International,2017-09-27,"House 514, Street 44, Hayatabad, Peshawar",Pharmaceuticals,Active,50000000
9155437-6,Metro Holdings,2020-05-10,"House 851, Street 35, Satellite Town, Gujranwala",Real Estate,Active,50000000
4980667-3,Pak (Pvt) Ltd,2022-05-25,"House 810, Street 22, Model Town, Gujranwala",Pharmaceuticals,Active,50000000
3346409-3,Premier (Pvt) Ltd,2012-07-31,"House 228, Street 29, Westridge, Rawalpindi",Real Estate,Active,500000000
1170830-4,Apex Builders,2008-05-29,"House 832, Street 14, Gulshan-e-Iqbal, Karachi",Real Estate,Active,50000000
8494397-6,Crescent Industries,2010-05-24,"House 511, Street 17, DC Colony, Gujranwala",Textile,Active,500000000
5837354-0,Apex Industries,2019-07-27,"House 734, Street 21, Wapda Town, Lahore",Real Estate,Active,500000000
5444694-0,Global Industries,2019-07-19,"House 12, Street 27, Kashmir Road, Sialkot",Import/Export,Active,50000000
9129297-4,Star Enterprises,2016-07-04,"House 251, Street 55, F-7, Islamabad",Textile,Active,50000000
3505046-6,Capital (Pvt) Ltd,2013-02-02,"House 601, Street 32, Model Town, Lahore",Import/Export,Active,500000000
3158302-8,Global Industries,2016-06-01,"House 885, Street 27, Model Town, Multan",Food & Beverage,Active,50000000
5510217-7,Star (Pvt) Ltd,2016-07-30,"House 250, Street 41, Cantt, Lahore",Import/Export,Active,50000000
6679821-2,United Industries,2014-06-15,"House 422, Street 8, Cantt, Peshawar",Trading,Active,50000000
8299253-3,Apex Enterprises,2021-10-13,"House 45, Street 51, Chaklala Scheme 3, Rawalpindi",Textile,Active,50000000
8773976-9,Global Industries,2021-01-25,"House 931, Street 60, Gulbahar, Peshawar",Construction,Active,50000000
2170317-9,Allied Traders,2022-06-18,"House 48, Street 1, Jaranwala Road, Faisalabad",Logistics,Active,50000000
3565592-9,Premier Builders,2015-02-22,"House 705, Street 16, DHA-I, Rawalpindi",Construction,Active,50000000
6781502-3,Summit International,2017-08-20,"House 222, Street 49, Chaklala Scheme 3, Rawalpindi",Construction,Active,500000000
9161807-1,Metro Holdings,2013-02-12,"House 842, Street 3, Jaranwala Road, Faisalabad",Food & Beverage,Active,50000000
1745519-4,United International,2010-04-07,"House 514, Street 47, Model Town, Lahore",Pharmaceuticals,Active,50000000
6735178-4,Crescent International,2011-03-24,"House 596, Street 22, Model Town, Sialkot",Real Estate,Active,50000000
2943497-4,Capital Associates,2017-10-29,"House 725, Street 35, Cantt, Sialkot",Import/Export,Active,500000000
8885816-3,Pak Holdings,2008-10-01,"House 241, Street 13, DHA-I, Rawalpindi",Food & Beverage,Active,500000000
2798342-5,Premier (Pvt) Ltd,2009-06-02,"House 597, Street 9, G-11, Islamabad",Trading,Active,500000000
4263074-1,United Holdings,2011-03-02,"House 320, Street 11, F-10, Islamabad",Real Estate,Active,500000000
8146031-8,Royal Industries,2018-04-05,"House 523, Street 18, Model Town, Lahore",Logistics,Active,50000000
5616437-5,Apex Traders,2018-11-14,"House 169, Street 38, Gulgasht Colony, Multan",Import/Export,Active,50000000
6352767-6,Premier (Pvt) Ltd,2009-12-20,"House 641, Street 29, Peoples Colony, Faisalabad",Food & Beverage,Active,50000000
3027625-4,Metro Enterprises,2009-12-15,"House 51, Street 10, Model Town, Multan",Textile,Active,50000000
7335169-8,United Industries,2014-11-19,"House 946, Street 19, Johar Town, Lahore",IT Services,Active,50000000
5899052-2,Capital (Pvt) Ltd,2014-11-23,"House 469, Street 11, F-7, Islamabad",Food & Beverage,Active,50000000
3953352-5,Summit Builders,2011-01-31,"House 845, Street 53, Model Town, Sialkot",Real Estate,Active,500000000
6247226-3,Royal Industries,2021-02-19,"House 31, Street 27, G-9, Islamabad",Import/Export,Active,500000000
8020313-1,Metro Builders,2010-06-26,"House 412, Street 42, F-7, Islamabad",Pharmaceuticals,Active,50000000
8878245-2,Summit Builders,2019-07-16,"House 348, Street 39, Gulbahar, Peshawar",Food & Beverage,Active,50000000
3664356-7,Allied (Pvt) Ltd,2019-09-19,"House 885, Street 35, Model Town, Gujranwala",Food & Beverage,Active,500000000
4857471-2,Royal International,2022-11-11,"House 900, Street 33, Bahria Town, Rawalpindi",Logistics,Active,50000000
6793332-4,Global Enterprises,2023-01-28,"House 195, Street 39, Cantt, Peshawar",Logistics,Active,50000000
1141743-8,Metro (Pvt) Ltd,2016-11-24,"House 530, Street 46, F-8, Islamabad",Food & Beverage,Active,500000000
3165570-9,Global Enterprises,2009-05-20,"House 176, Street 19, Model Town, Sialkot",Construction,Active,50000000
4757994-5,Capital Holdings,2021-06-18,"House 18, Street 20, DHA Phase 6, Karachi",Logistics,Active,500000000
9225042-6,Pak Industries,2013-08-17,"House 551, Street 38, Bahadurabad, Karachi",Logistics,Active,500000000
8345148-2,Metro (Pvt) Ltd,2019-02-21,"House 94, Street 51, F-10, Islamabad",Logistics,Active,500000000
4711981-9,Global Builders,2010-08-07,"House 769, Street 48, Paris Road, Sialkot",Textile,Active,50000000
8256543-3,Crescent Industries,2011-09-02,"House 829, Street 15, University Town, Peshawar",Import/Export,Active,50000000
4402067-3,Royal Industries,2010-07-28,"House 239, Street 9, DC Colony, Gujranwala",Construction,Active,50000000
8976927-4,Allied Industries,2022-04-14,"House 345, Street 34, DHA-I, Rawalpindi",Logistics,Active,500000000
6249078-5,Star (Pvt) Ltd,2023-05-19,"House 953, Street 50, Satellite Town, Gujranwala",Pharmaceuticals,Active,50000000
4510433-7,Crescent (Pvt) Ltd,2016-05-03,"House 80, Street 22, Johar Town, Lahore",Trading,Active,50000000
3789062-0,Pak Traders,2017-03-16,"House 985, Street 20, Model Town, Gujranwala",Import/Export,Active,50000000
9000887-1,Pak International,2010-01-15,"House 860, Street 40, Satellite Town, Rawalpindi",Import/Export,Active,50000000
2634821-8,Star Associates,2015-07-27,"House 182, Street 1, Peoples Colony, Faisalabad",Food & Beverage,Active,500000000
1185962-4,Pak Enterprises,2009-01-14,"House 297, Street 39, Wapda Town, Lahore",Construction,Active,50000000
5176031-5,Global Industries,2023-12-02,"House 87, Street 26, Madina Town, Faisalabad",Textile,Active,50000000
5223179-3,Apex Enterprises,2021-12-11,"House 506, Street 6, DC Colony, Gujranwala",Trading,Active,50000000
9461287-0,Global Industries,2011-12-21,"House 639, Street 31, Model Town, Gujranwala",Trading,Active,50000000
7476949-9,Capital Industries,2008-04-02,"House 898, Street 36, F-10, Islamabad",Real Estate,Active,50000000
9046676-7,Star Holdings,2015-04-22,"House 257, Street 57, Gulbahar, Peshawar",Pharmaceuticals,Active,50000000
2058416-6,Royal Associates,2021-08-02,"House 998, Street 49, Jaranwala Road, Faisalabad",Food & Beverage,Active,50000000
5550216-2,Crescent Traders,2021-03-27,"House 311, Street 5, Cantt, Lahore",Real Estate,Active,50000000
7829036-0,Global Industries,2019-02-25,"House 356, Street 18, North Nazimabad, Karachi",Textile,Active,500000000
7004035-0,Apex Traders,2014-10-19,"House 105, Street 46, Kashmir Road, Sialkot",Food & Beverage,Active,50000000
3355512-5,Capital (Pvt) Ltd,2011-08-17,"House 590, Street 25, University Town, Peshawar",Real Estate,Active,500000000
4947127-3,Metro Builders,2020-09-22,"House 297, Street 4, DHA-II, Islamabad",Trading,Active,50000000
9753470-2,Summit Builders,2014-09-05,"House 712, Street 35, Westridge, Rawalpindi",Trading,Active,500000000
4363960-7,Allied Associates,2016-02-07,"House 255, Street 48, Peoples Colony, Faisalabad",Import/Export,Active,50000000
5744062-2,United Industries,2017-12-07,"House 813, Street 54, Satellite Town, Rawalpindi",Textile,Active,50000000
3079159-0,Global Holdings,2012-09-05,"House 32, Street 59, Gulberg III, Lahore",Food & Beverage,Active,50000000
2595667-4,Apex Industries,2008-09-11,"House 803, Street 42, DHA Phase 5, Lahore",Trading,Active,500000000
9700604-2,Allied Industries,2013-08-16,"House 636, Street 55, North Nazimabad, Karachi",Trading,Active,50000000
8756160-9,Capital Enterprises,2014-10-30,"House 409, Street 41, Model Town, Multan",Real Estate,Active,50000000
5653179-0,Apex Associates,2015-12-07,"House 993, Street 13, Madina Town, Faisalabad",Import/Export,Active,500000000
2082757-9,Apex Traders,2013-02-24,"House 694, Street 10, DHA-I, Rawalpindi",IT Services,Active,500000000
4024613-7,Allied Traders,2008-10-14,"House 925, Street 55, F-6, Islamabad",IT Services,Active,50000000
2231514-9,Premier Traders,2011-01-25,"House 719, Street 6, Cantt, Peshawar",Food & Beverage,Active,5000000
1787646-2,Summit International,2019-03-10,"House 489, Street 14, Cantt, Multan",Real Estate,Active,50000000
8941078-7,Summit Holdings,2020-03-17,"House 936, Street 28, Satellite Town, Rawalpindi",Trading,Active,50000000
9782189-5,Summit Industries,2009-02-09,"House 88, Street 9, Bahadurabad, Karachi",Pharmaceuticals,Active,500000000
4932993-8,Apex Holdings,2012-09-01,"House 91, Street 13, Satellite Town, Gujranwala",Construction,Active,50000000
3971587-1,Premier Industries,2009-04-12,"House 644, Street 48, G-11, Islamabad",Trading,Active,50000000
4082224-5,Apex Industries,2020-03-30,"House 904, Street 53, Clifton, Karachi",IT Services,Active,500000000
3000220-8,Pak Industries,2018-11-21,"House 392, Street 29, DHA-I, Rawalpindi",Real Estate,Active,500000000
2912769-4,Global Enterprises,2014-09-26,"House 431, Street 40, Hayatabad, Peshawar",Construction,Active,50000000
5288155-2,Pak (Pvt) Ltd,2014-04-02,"House 682, Street 52, Peoples Colony, Faisalabad",Pharmaceuticals,Active,500000000
1204270-8,Apex (Pvt) Ltd,2018-03-14,"House 155, Street 6, F-6, Islamabad",Trading,Active,50000000
7638396-1,Summit Holdings,2012-02-23,"House 901, Street 15, Clifton, Karachi",Trading,Active,500000000
8946896-8,Summit International,2013-04-07,"House 536, Street 50, Bahria Town, Islamabad",Import/Export,Active,50000000
2736780-4,Capital Holdings,2017-04-03,"House 747, Street 5, Bahria Town, Rawalpindi",Textile,Active,50000000
7017550-4,Premier Enterprises,2021-08-22,"House 734, Street 15, Shah Rukn-e-Alam, Multan",Textile,Active,50000000
4653075-1,Pak Industries,2010-07-07,"House 560, Street 18, Cantt, Multan",Construction,Active,500000000
2591336-5,Pak Industries,2019-08-01,"House 2, Street 11, G-11, Islamabad",Construction,Active,50000000
4773554-0,Premier Builders,2017-01-10,"House 820, Street 46, DHA-I, Rawalpindi",Logistics,Active,50000000
1758464-2,Star Traders,2011-05-03,"House 769, Street 37, Cantt, Peshawar",Logistics,Active,50000000
2845496-8,Metro International,2011-06-20,"House 807, Street 4, Madina Town, Faisalabad",Real Estate,Active,500000000
9102869-4,Star International,2021-01-04,"House 929, Street 7, G-10, Islamabad",Logistics,Active,50000000
6667256-4,Capital International,2014-01-05,"House 704, Street 32, Model Town, Gujranwala",Import/Export,Active,50000000
5266471-8,Royal Traders,2022-10-07,"House 599, Street 47, DC Colony, Gujranwala",Import/Export,Active,50000000
8079804-7,Crescent Builders,2021-10-01,"House 185, Street 9, Gulbahar, Peshawar",IT Services,Active,5000000
6960019-0,Crescent Traders,2013-02-15,"House 857, Street 35, Hayatabad, Peshawar",Logistics,Active,500000000
6497195-8,Metro Enterprises,2009-12-19,"House 769, Street 27, DHA Phase 6, Karachi",Pharmaceuticals,Active,50000000
7016552-9,Pak Enterprises,2019-01-31,"House 990, Street 55, Model Town, Multan",Pharmaceuticals,Active,500000000
9351161-8,Crescent Builders,2009-07-26,"House 223, Street 45, Satellite Town, Gujranwala",Food & Beverage,Active,50000000
9315159-2,Metro Industries,2019-06-20,"House 770, Street 29, Bahadurabad, Karachi",Logistics,Active,50000000
7473520-5,Star International,2017-03-21,"House 358, Street 9, Model Town, Sialkot",Real Estate,Active,500000000
1906132-7,Premier Builders,2008-09-03,"House 471, Street 2, Model Town, Multan",Logistics,Active,50000000
1903715-6,Apex (Pvt) Ltd,2018-11-16,"House 231, Street 46, Chaklala Scheme 3, Rawalpindi",Food & Beverage,Active,50000000
7216929-6,Crescent Builders,2009-07-25,"House 343, Street 1, Peoples Colony, Gujranwala",Trading,Active,50000000
8327433-7,Crescent Holdings,2021-07-11,"House 73, Street 19, F-10, Islamabad",Pharmaceuticals,Active,500000000
9630297-6,Metro (Pvt) Ltd,2020-01-16,"House 948, Street 48, Paris Road, Sialkot",Import/Export,Active,500000000
9890509-1,Metro Enterprises,2022-08-16,"House 20, Street 55, Chaklala Scheme 3, Rawalpindi",Food & Beverage,Active,500000000
8186117-6,United Holdings,2009-03-28,"House 96, Street 18, Cantt, Sialkot",Import/Export,Active,50000000
9221879-9,United Holdings,2020-09-22,"House 583, Street 11, Clifton, Karachi",Textile,Active,50000000
4812984-5,Royal (Pvt) Ltd,2008-01-23,"House 922, Street 49, Westridge, Rawalpindi",Textile,Active,500000000
1587631-5,Capital (Pvt) Ltd,2019-07-15,"House 236, Street 23, Clifton, Karachi",Import/Export,Active,50000000
2948964-1,Premier Industries,2013-01-25,"House 735, Street 42, Bahria Town, Lahore",Real Estate,Active,500000000
4868007-1,Pak Industries,2010-08-31,"House 722, Street 12, Chaklala Scheme 3, Rawalpindi",Real Estate,Active,50000000
3190646-6,Royal Holdings,2016-02-02,"House 72, Street 45, Peoples Colony, Gujranwala",Pharmaceuticals,Active,50000000
3755531-8,Pak (Pvt) Ltd,2015-03-23,"House 117, Street 47, Gulshan-e-Iqbal, Karachi",Real Estate,Active,500000000
8632199-9,Apex Industries,2018-04-24,"House 21, Street 23, Westridge, Rawalpindi",Food & Beverage,Active,5000000
2022680-1,Capital Holdings,2012-04-13,"House 986, Street 22, I-8, Islamabad",Construction,Active,50000000
2631390-5,Royal International,2012-01-29,"House 19, Street 23, University Town, Peshawar",Construction,Active,500000000
2149903-2,Metro Associates,2013-07-13,"House 37, Street 54, Chaklala Scheme 3, Rawalpindi",Textile,Active,50000000
5227214-9,United (Pvt) Ltd,2018-10-16,"House 440, Street 55, D Ground, Faisalabad",Food & Beverage,Active,50000000
6495946-0,United Enterprises,2023-03-14,"House 135, Street 30, Cantt, Peshawar",Construction,Active,500000000
2796392-2,Global Enterprises,2013-02-23,"House 822, Street 58, University Town, Peshawar",Import/Export,Active,50000000
2269389-5,Pak Traders,2010-02-26,"House 333, Street 8, D Ground, Faisalabad",Textile,Active,500000000
8249688-4,Summit Traders,2023-08-23,"House 53, Street 38, Model Town, Gujranwala",Pharmaceuticals,Active,50000000
4222121-2,Summit Holdings,2017-06-24,"House 572, Street 12, DC Colony, Gujranwala",Import/Export,Active,500000000
4084439-0,Summit Builders,2013-12-07,"House 663, Street 19, Clifton, Karachi",Construction,Active,50000000
9179603-8,Royal Traders,2016-02-21,"House 457, Street 22, Chaklala Scheme 3, Rawalpindi",IT Services,Active,50000000
4596392-7,Summit (Pvt) Ltd,2012-05-28,"House 929, Street 50, F-8, Islamabad",Construction,Active,500000000
1404290-4,Premier Holdings,2022-01-01,"House 583, Street 48, North Nazimabad, Karachi",Construction,Active,50000000
8123678-5,Apex Holdings,2020-07-13,"House 547, Street 46, Cantt, Peshawar",Pharmaceuticals,Active,50000000
4693678-8,Metro Associates,2014-05-22,"House 345, Street 48, Gulgasht Colony, Multan",Real Estate,Active,50000000
4684607-0,Star Associates,2020-03-13,"House 12, Street 4, Bahria Town, Lahore",Construction,Active,50000000
3881953-7,Royal Builders,2008-12-24,"House 244, Street 3, Cantt, Multan",Logistics,Active,500000000
8575668-9,Premier (Pvt) Ltd,2019-10-18,"House 224, Street 8, G-10, Islamabad",Textile,Active,50000000
8095118-8,United Traders,2017-08-26,"House 195, Street 25, Satellite Town, Rawalpindi",IT Services,Active,50000000
1089049-8,Crescent Holdings,2008-10-14,"House 863, Street 33, I-8, Islamabad",Logistics,Active,500000000
6151109-8,Summit Traders,2008-10-03,"House 865, Street 32, Paris Road, Sialkot",Trading,Active,500000000
3336653-1,Crescent Associates,2020-08-25,"House 372, Street 43, Bahadurabad, Karachi",Trading,Active,500000000
9823231-8,Metro Enterprises,2019-04-13,"House 275, Street 5, Bahadurabad, Karachi",Logistics,Active,50000000
6166787-6,Pak Associates,2008-08-12,"House 578, Street 55, Cantt, Multan",Real Estate,Active,50000000
1548560-9,Pak Industries,2018-09-20,"House 808, Street 50, DHA-I, Rawalpindi",Real Estate,Active,500000000
3339613-2,Royal Associates,2015-02-08,"House 271, Street 59, Bahria Town, Islamabad",Food & Beverage,Active,5000000
2033287-8,Premier Builders,2013-11-15,"House 940, Street 22, I-8, Islamabad",Textile,Active,50000000
3098229-5,Global Associates,2015-10-03,"House 943, Street 20, Shah Rukn-e-Alam, Multan",Import/Export,Active,500000000
3200560-4,Summit International,2020-06-16,"House 700, Street 46, Model Town, Gujranwala",Trading,Active,1000000
8237036-1,Premier Builders,2016-03-26,"House 740, Street 18, Peoples Colony, Faisalabad",Trading,Active,500000000
6809921-8,Star International,2014-11-01,"House 304, Street 16, North Nazimabad, Karachi",Construction,Active,500000000
1059890-6,Global Enterprises,2016-04-15,"House 244, Street 10, Peoples Colony, Faisalabad",Textile,Active,500000000
2369539-7,Star Builders,2014-12-12,"House 555, Street 3, University Town, Peshawar",Import/Export,Active,500000000
5535269-2,Metro Industries,2013-01-15,"House 53, Street 59, Model Town, Multan",Food & Beverage,Active,50000000
9241877-0,United Associates,2018-07-21,"House 252, Street 13, DHA Phase 5, Lahore",Food & Beverage,Active,50000000
8547790-1,Summit Enterprises,2012-06-12,"House 581, Street 22, Gulbahar, Peshawar",Food & Beverage,Active,500000000
2803805-2,Pak Industries,2020-05-19,"House 748, Street 16, D Ground, Faisalabad",Construction,Active,50000000
5917727-0,Star (Pvt) Ltd,2023-08-19,"House 980, Street 34, Clifton, Karachi",Trading,Active,50000000
6335026-4,United Enterprises,2012-03-02,"House 144, Street 40, Hayatabad, Peshawar",IT Services,Active,50000000
4397811-8,Global Enterprises,2015-12-20,"House 386, Street 1, Peoples Colony, Gujranwala",Textile,Active,50000000
2744263-6,Capital Associates,2011-03-10,"House 108, Street 20, Kashmir Road, Sialkot",Real Estate,Active,50000000
8475182-0,Pak Traders,2013-09-11,"House 646, Street 49, Peoples Colony, Faisalabad",Real Estate,Active,50000000
7082559-0,Global Holdings,2015-05-08,"House 653, Street 6, DHA Phase 6, Karachi",Real Estate,Active,50000000
1726653-0,Apex International,2016-06-06,"House 634, Street 19, Madina Town, Faisalabad",Food & Beverage,Active,50000000
4590225-2,Crescent Traders,2023-12-22,"House 110, Street 59, Paris Road, Sialkot",Import/Export,Active,500000000
3630803-4,United Holdings,2023-01-18,"House 82, Street 2, Bahadurabad, Karachi",Pharmaceuticals,Active,50000000
9924669-8,Crescent Industries,2010-10-21,"House 732, Street 27, Model Town, Gujranwala",Import/Export,Active,50000000
9566504-7,Allied Holdings,2011-12-17,"House 13, Street 39, D Ground, Faisalabad",Trading,Active,5000000
3457515-1,Summit (Pvt) Ltd,2022-10-13,"House 241, Street 3, Hayatabad, Peshawar",Import/Export,Active,500000000
8789389-0,United Traders,2017-06-19,"House 323, Street 30, Gulgasht Colony, Multan",Trading,Active,500000000
9192229-9,Capital Associates,2022-12-09,"House 531, Street 14, Peoples Colony, Gujranwala",Food & Beverage,Active,500000000
6432924-8,Star Industries,2018-05-18,"House 526, Street 22, Shah Rukn-e-Alam, Multan",Textile,Active,5000000
1112819-1,Royal Enterprises,2009-11-14,"House 826, Street 56, Chaklala Scheme 3, Rawalpindi",Real Estate,Active,50000000
9656370-2,Pak (Pvt) Ltd,2023-04-21,"House 26, Street 37, Satellite Town, Rawalpindi",Import/Export,Active,50000000
4238081-7,United Associates,2018-04-20,"House 415, Street 55, D Ground, Faisalabad",Import/Export,Active,50000000
7860706-4,Pak Associates,2017-12-13,"House 489, Street 14, Peoples Colony, Faisalabad",Food & Beverage,Active,500000000
8927878-5,Premier International,2014-09-17,"House 380, Street 48, Model Town, Gujranwala",Pharmaceuticals,Active,500000000
2177324-3,Crescent Associates,2010-05-28,"House 641, Street 39, Bahria Town, Rawalpindi",IT Services,Active,50000000
1054740-1,Global International,2011-01-21,"House 691, Street 44, PECHS, Karachi",IT Services,Active,5000000
3590251-0,Royal (Pvt) Ltd,2010-06-12,"House 845, Street 54, DHA Phase 5, Lahore",Pharmaceuticals,Active,500000000
6022572-6,Royal (Pvt) Ltd,2012-11-18,"House 803, Street 49, Model Town, Sialkot",Textile,Active,5000000
4969689-2,Apex Traders,2018-12-22,"House 576, Street 16, Satellite Town, Gujranwala",Logistics,Active,50000000
7701138-6,Crescent Traders,2020-02-05,"House 433, Street 17, North Nazimabad, Karachi",Import/Export,Active,50000000
2568908-0,Royal (Pvt) Ltd,2023-10-24,"House 255, Street 33, Kashmir Road, Sialkot",Textile,Active,1000000
3493306-2,Pak Industries,2011-03-20,"House 430, Street 10, Wapda Town, Lahore",Textile,Active,500000000
8931843-5,Metro Enterprises,2019-02-04,"House 298, Street 34, DHA-II, Islamabad",Trading,Active,50000000
7341962-7,Crescent Industries,2015-12-20,"House 17, Street 10, Model Town, Multan",Food & Beverage,Active,50000000
5547988-8,Capital Builders,2009-08-29,"House 526, Street 17, G-11, Islamabad",Construction,Active,500000000
1949423-5,Premier Enterprises,2019-06-03,"House 504, Street 59, Peoples Colony, Faisalabad",Construction,Active,50000000
5544088-1,Metro Enterprises,2022-10-29,"House 502, Street 13, I-8, Islamabad",Food & Beverage,Active,500000000
4360063-3,Crescent (Pvt) Ltd,2020-01-17,"House 978, Street 34, Peoples Colony, Faisalabad",IT Services,Active,50000000
8628920-5,Apex (Pvt) Ltd,2016-03-06,"House 75, Street 28, Jaranwala Road, Faisalabad",Food & Beverage,Active,500000000
8168473-9,Global Industries,2011-02-10,"House 439, Street 34, North Nazimabad, Karachi",Food & Beverage,Active,500000000
7948484-1,Capital Associates,2017-07-31,"House 857, Street 39, Chaklala Scheme 3, Rawalpindi",IT Services,Active,50000000
2315520-5,Royal Builders,2011-04-29,"House 541, Street 16, University Town, Peshawar",Pharmaceuticals,Active,500000000
9506487-0,Pak International,2017-12-24,"House 226, Street 41, Bahria Town, Rawalpindi",Construction,Active,50000000
2811578-9,Capital Traders,2020-11-13,"House 379, Street 44, Peoples Colony, Faisalabad",IT Services,Active,500000000
6729572-9,Metro Associates,2019-07-23,"House 288, Street 55, Chaklala Scheme 3, Rawalpindi",Textile,Active,500000000
5160818-6,Capital (Pvt) Ltd,2019-02-24,"House 799, Street 29, Cantt, Sialkot",IT Services,Active,500000000
8486277-0,Royal Enterprises,2008-06-19,"House 141, Street 11, Satellite Town, Rawalpindi",Food & Beverage,Active,50000000
3155005-3,Allied Builders,2023-02-24,"House 776, Street 49, Jaranwala Road, Faisalabad",Construction,Active,50000000
4394149-3,Pak Enterprises,2020-12-30,"House 861, Street 49, DHA-I, Rawalpindi",Logistics,Active,50000000
4046557-6,Global Enterprises,2009-10-24,"House 496, Street 26, Madina Town, Faisalabad",Trading,Active,500000000
8533240-9,Metro Industries,2016-12-24,"House 961, Street 12, Bahria Town, Islamabad",Trading,Active,50000000
1079307-0,Capital Traders,2019-03-26,"House 347, Street 45, Gulgasht Colony, Multan",IT Services,Active,50000000
7718733-8,Royal International,2008-04-15,"House 101, Street 14, Clifton, Karachi",Trading,Active,50000000
5527154-9,Summit Holdings,2016-10-25,"House 731, Street 9, Model Town, Multan",Pharmaceuticals,Active,50000000
7982802-2,United Holdings,2008-03-24,"House 555, Street 4, Bahria Town, Rawalpindi",Real Estate,Active,500000000
6041639-8,Global Builders,2013-09-04,"House 963, Street 2, Gulgasht Colony, Multan",Import/Export,Active,50000000
2840298-6,Metro (Pvt) Ltd,2019-08-23,"House 645, Street 19, Paris Road, Sialkot",Trading,Active,50000000
6117585-7,Crescent International,2009-02-13,"House 462, Street 60, Hayatabad, Peshawar",Real Estate,Active,1000000
4526538-3,Star Associates,2016-04-03,"House 348, Street 5, Kashmir Road, Sialkot",Trading,Active,50000000
8219727-6,Crescent Holdings,2009-06-23,"House 880, Street 26, Chaklala Scheme 3, Rawalpindi",Real Estate,Active,50000000
1074855-5,Allied Builders,2019-04-20,"House 144, Street 22, DHA Phase 5, Lahore",Import/Export,Active,50000000
6475560-6,United Traders,2009-11-05,"House 265, Street 32, Gulbahar, Peshawar",Import/Export,Active,500000000
9299981-3,Allied International,2010-01-05,"House 991, Street 13, Westridge, Rawalpindi",Textile,Active,50000000
1061470-8,Star Industries,2018-04-24,"House 753, Street 16, DC Colony, Gujranwala",Textile,Active,50000000
9078232-0,Apex Industries,2019-10-03,"House 698, Street 55, F-10, Islamabad",IT Services,Active,500000000
5375105-9,Global (Pvt) Ltd,2010-11-17,"House 687, Street 18, Jaranwala Road, Faisalabad",Real Estate,Active,500000000
6724914-1,Crescent Holdings,2019-04-24,"House 660, Street 59, Kashmir Road, Sialkot",Trading,Active,500000000
7845435-6,Metro (Pvt) Ltd,2011-11-20,"House 368, Street 14, Paris Road, Sialkot",Pharmaceuticals,Active,50000000
5151864-5,Summit Holdings,2013-10-27,"House 72, Street 27, Westridge, Rawalpindi",Logistics,Active,50000000
2094151-9,Global (Pvt) Ltd,2011-10-22,"House 159, Street 31, F-10, Islamabad",Textile,Active,50000000
1173436-8,Pak Associates,2019-04-07,"House 202, Street 33, Kashmir Road, Sialkot",Import/Export,Active,500000000
5683473-2,Allied Builders,2010-07-27,"House 489, Street 8, Paris Road, Sialkot",Trading,Active,50000000
5727324-3,Crescent International,2010-01-25,"House 466, Street 25, D Ground, Faisalabad",Import/Export,Active,50000000
6360492-4,Allied (Pvt) Ltd,2010-09-27,"House 691, Street 42, Gulshan-e-Iqbal, Karachi",Construction,Active,500000000
5738667-8,Metro Builders,2011-05-20,"House 350, Street 56, Madina Town, Faisalabad",Real Estate,Active,50000000
2126998-0,Star Enterprises,2018-09-17,"House 14, Street 59, Gulberg III, Lahore",IT Services,Active,50000000
9974387-0,Royal (Pvt) Ltd,2014-11-15,"House 62, Street 20, Satellite Town, Gujranwala",Textile,Active,50000000
5566955-4,Apex Enterprises,2017-11-10,"House 844, Street 2, University Town, Peshawar",Trading,Active,50000000
2724756-1,Premier Enterprises,2009-10-24,"House 527, Street 12, Model Town, Gujranwala",Logistics,Active,500000000
3711321-6,Metro Enterprises,2013-04-19,"House 442, Street 4, Model Town, Lahore",Logistics,Active,500000000
8740498-7,Royal Builders,2014-02-24,"House 567, Street 49, Gulshan-e-Iqbal, Karachi",Trading,Active,50000000
5924884-1,Pak (Pvt) Ltd,2021-04-04,"House 970, Street 37, Cantt, Peshawar",Construction,Active,500000000
1224456-1,Star Holdings,2019-03-28,"House 40, Street 7, I-8, Islamabad",IT Services,Active,500000000
4263829-2,Premier Associates,2016-06-14,"House 744, Street 38, Bahadurabad, Karachi",Real Estate,Active,50000000
2603587-6,Capital Holdings,2009-01-16,"House 263, Street 18, Cantt, Multan",Logistics,Active,500000000
4295427-3,Crescent Holdings,2017-06-29,"House 537, Street 44, D Ground, Faisalabad",Food & Beverage,Active,500000000
6204746-1,Pak (Pvt) Ltd,2009-03-09,"House 926, Street 20, Cantt, Sialkot",Trading,Active,500000000
3881345-7,Capital International,2021-01-24,"House 72, Street 49, DHA-II, Islamabad",Pharmaceuticals,Active,50000000
6456562-6,Royal Associates,2009-05-23,"House 156, Street 41, DHA Phase 6, Karachi",Pharmaceuticals,Active,500000000
7614406-2,Star Builders,2013-04-29,"House 210, Street 7, Model Town, Multan",Logistics,Active,50000000
1050110-2,Star Holdings,2021-11-10,"House 97, Street 25, Cantt, Peshawar",Import/Export,Active,50000000
4172778-9,Metro Builders,2014-12-01,"House 861, Street 8, Gulshan-e-Iqbal, Karachi",Food & Beverage,Active,50000000
